DATE,PRCP_in
2020-08-20,0.78
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.11
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.17
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.11
2021-07-03,0.29
2021-07-04,0.1
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.06
2021-07-08,0.0
2021-07-09,0.0
2021-07-10,0.52
2021-07-11,0.0
2021-07-12,0.39
2021-07-13,0.01
2021-07-14,0.0
2021-07-15,0.04
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.07
2021-07-19,0.0
2021-07-20,0.17
2021-07-21,0.0
2021-07-22,0.29
2021-07-23,0.75
2021-07-24,1.49
2021-07-25,1.5
2021-07-26,0.0
2021-07-27,1.29
2021-07-28,0.0
2021-07-29,0.31
2021-07-30,0.67
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,0.0
2021-08-03,0.0
2021-08-04,0.0
2021-08-05,0.0
2021-08-06,0.0
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,0.0
2021-08-10,0.03
2021-08-11,0.68
2021-08-12,0.21
2021-08-13,0.0
2021-08-14,2.15
2021-08-15,0.0
2021-08-16,0.24
2021-08-17,0.3
2021-08-18,0.02
2021-08-19,0.0
2021-08-20,0.0
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,0.04
2021-08-31,0.18
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.0
2021-09-05,0.33
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.02
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.05
2021-09-24,0.0
2021-09-25,0.03
2021-09-26,0.27
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.01
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.05
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.11
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.07
2022-07-01,0.02
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.02
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.18
2022-07-24,0.04
2022-07-25,0.07
2022-07-26,0.15
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.28
2022-07-30,0.04
2022-07-31,0.28
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.05
2022-08-04,0.16
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.12
2022-08-09,0.01
2022-08-10,0.29
2022-08-11,0.0
2022-08-12,0.08
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.01
2022-08-18,0.0
2022-08-19,0.26
2022-08-20,0.07
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,1.06
2022-08-24,0.0
2022-08-25,0.71
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,0.0
2022-09-11,0.01
2022-09-12,0.34
2022-09-13,0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.15
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.04
2022-09-29,0.0
2022-09-30,0.27
